unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y45-54	PT	15.0	14.5	13.7 	15.3 	21.3 	22.8 	21.6 	18.3 	19.6 	15.9 	10.8 	9.9 	9.4 	8.4 
PC	Y45-54	RO	-1.2	-1.2	-1.2 	0.3	1.8	3.4	4.8 	6.4 	8.0 	9.6 	11.1 	7	6.7	6.4
PC	Y45-54	RS	: 	: 	10.9 	: 	: 	: 	13.4 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	SE	14.8 	15.8 	15.3 	15.5 	16.0 	17.0 	16.7 	17.8 	19.1 	19.5 	18.9 	18.9 	20.4 	: 
PC	Y45-54	SI	5.8	10.6	12.0 	11.5 	11.9 	11.6 	10.4 	11.1 	8.8 	7.0 	4.5 	3.3 	8.2 	8.2 
PC	Y45-54	SK	17.7 	20.6 	22.1 	22.5 	22.0 	22.2 	22.1 	21.3 	22.9 	23.0 	21.5 	23.9 	20.2 	: 
PC	Y45-54	TR	: 	: 	: 	: 	: 	: 	12.8 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	UK	: 	: 	27.5 	27.9 	27.9 	29.0 	29.4 	30.1 	30.7 	31.8 	30.9	27.4 	29.5 	28.0 
PC	Y55-64	AL	: 	: 	8.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	AT	: 	: 	27.1 	: 	: 	: 	31.6 	: 	: 	: 	36.3 	: 	: 	: 
PC	Y55-64	BE	8.9	9.2	9.4 	10.9 	12.4 	14.2 	15.7 	16.2 	16.7 	17.2 	17.6 	17.6 	17.8 	17.8 
PC	Y55-64	BG	5.1	6.7	6.5 	6.7 	6.9 	7.5 	6.0 	6.6 	8.4 	7.1 	7.6 	8.7 	8.5 	9.2 
PC	Y55-64	CH	25.7	25.9	25.9 	25.3 	24.5 	24.5 	23.2 	23.3 	23.2 	23.3 	22.9 	24.1	24.1	: 
PC	Y55-64	CY	9.1	10.2	10.7 	14.4 	19.8 	23.8 	28.2 	28.9 	27.7 	26.4 	25.8 	37.3 	38.2 	: 
PC	Y55-64	CZ	9.8	12.9	13.9	14.6	15.2	15.9	16.3 	16.6 	16.9 	16.3 	15.2 	19.1 	20.7 	: 
PC	Y55-64	DE	: 	: 	27.3 	: 	: 	: 	27.7 	: 	: 	: 	27.5 	: 	: 	: 
PC	Y55-64	DK	16.6 	16.3 	17.1 	16.7 	16.3 	16.5 	17.2 	17.4 	17.8 	17.6 	18.0 	17.2 	18.5 	: 
PC	Y55-64	EE	: 	: 	17.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	EL	: 	: 	15.3 	: 	: 	: 	17.5 	: 	: 	: 	19.1 	: 	: 	: 
PC	Y55-64	ES	15.7	15.7 	18.2 	20.5 	22.6 	22.7 	21.1 	23.0 	24.2 	22.9 	23.7 	22.8 	21.9 	21.7 
PC	Y55-64	FI	19.7 	20.5 	21.5 	21.1 	21.6 	22.1 	22.8 	23.1 	23.6 	23.5 	25.5 	26.1 	25.8 	: 
PC	Y55-64	FR	21.2	21.7	22.6 	22.2 	21.7 	21.4 	21.3 	21.6 	22.1 	22.5 	22.7 	22.9 	: 	: 
PC	Y55-64	HR	9.9	8.6	8.7 	9.9 	7.1 	: 	6.5 	1.3 	: 	: 	-1.7 	: 	: 	: 
PC	Y55-64	HU	12.7 	14.8	8.5 	10.8	7.7 	9.4 	11.0 	19.1 	17.8 	18.4 	19.7 	17.5 	18.0 	18.0 
PC	Y55-64	IE	: 	: 	20.2 	24.7	25	25.5	24.6 	22.7 	23.4 	23.1 	20.4 	21.2 	21.5 	: 
PC	Y55-64	IS	20.3	21.9	20.1 	20.7 	21.0 	22.9 	21.9 	23.4 	22.3 	22.0 	21.6 	23.1 	25.9 	30.4 
PC	Y55-64	IT	8.9	8.8	9.2 	6.9	5.7	6.3	7.2 	5.2 	5.7 	3.4 	3.9 	5.1 	7.8 	10.7 
PC	Y55-64	LT	8.9	9.5	11.0 	12.7 	10.4 	11.4 	10.6 	9.4 	9.0 	8.6 	9.4	12.8 	19.2 	20.8 
PC	Y55-64	LU	: 	: 	11.4 	: 	: 	: 	16.7 	: 	: 	: 	21.6 	22.4 	23.1 	23.9 
PC	Y55-64	LV	15.9	15.5	15.4	16.4	16.2	16.2	14.4 	: 	: 	: 	16.7 	: 	: 	: 
PC	Y55-64	ME	: 	: 	: 	: 	: 	: 	14.6 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	MK	: 	: 	: 	: 	: 	: 	7.7 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	MT	9.3	11.7	13.1 	11.2 	10.2 	9.7 	9.0 	5.5 	4.6 	2.9 	0.3 	0.3 	-0.3 	-3.2 
PC	Y55-64	NL	20.1	20.4	23.1 	22.8 	22.5 	22.3 	25.1 	24.1 	24.0 	24.1 	24.4 	25.2 	25.8 	27.1 
PC	Y55-64	NO	19.1	19.0	19.9 	20.1 	20.7 	21.9 	20.1 	20.6 	19.9 	21.5 	21.2 	21.6 	21.9 	: 
