geo,year,percent,age
NO,2018,10.8,Y35-44
PL,2018,13.6,Y35-44
PT,2018,9.8,Y35-44
RO,2018,4.5,Y35-44
RS,2018,13,Y35-44
SE,2018,12.6,Y35-44
SI,2018,12,Y35-44
SK,2018,24,Y35-44
TR,2018,:,Y35-44
UK,2018,18.6,Y35-44
AL,2018,10.8,Y45-54
AT,2018,25.3,Y45-54
BE,2018,5.4,Y45-54
BG,2018,16.2,Y45-54
CH,2018,23.9,Y45-54
CY,2018,15.1,Y45-54
CZ,2018,22.8,Y45-54
DE,2018,25.6,Y45-54
DK,2018,18.4,Y45-54
EE,2018,22.4,Y45-54
EL,2018,9.8,Y45-54
ES,2018,13.8,Y45-54
FI,2018,20.7,Y45-54
FR,2018,19.6,Y45-54
HR,2018,18.5,Y45-54
HU,2018,14.7,Y45-54
IE,2018,10,Y45-54
IS,2018,20.2,Y45-54
IT,2018,7.5,Y45-54
LT,2018,10.9,Y45-54
LU,2018,6.6,Y45-54
LV,2018,17.5,Y45-54
ME,2018,:,Y45-54
MK,2018,:,Y45-54
MT,2018,15.9,Y45-54
NL,2018,21.5,Y45-54
NO,2018,16.5,Y45-54
PL,2018,8.2,Y45-54
PT,2018,13.7,Y45-54
RO,2018,-1.2,Y45-54
RS,2018,10.9,Y45-54
SE,2018,15.3,Y45-54
SI,2018,12,Y45-54
SK,2018,22.1,Y45-54
TR,2018,:,Y45-54
UK,2018,27.5,Y45-54
AL,2018,8.8,Y55-64
AT,2018,27.1,Y55-64
BE,2018,9.4,Y55-64
BG,2018,6.5,Y55-64
CH,2018,25.9,Y55-64
CY,2018,10.7,Y55-64
CZ,2018,13.9,Y55-64
DE,2018,27.3,Y55-64
DK,2018,17.1,Y55-64
EE,2018,17.3,Y55-64
EL,2018,15.3,Y55-64
ES,2018,18.2,Y55-64
FI,2018,21.5,Y55-64
FR,2018,22.6,Y55-64
HR,2018,8.7,Y55-64
HU,2018,8.5,Y55-64
IE,2018,20.2,Y55-64
IS,2018,20.1,Y55-64
IT,2018,9.2,Y55-64
LT,2018,11,Y55-64
LU,2018,11.4,Y55-64
LV,2018,15.4,Y55-64
ME,2018,:,Y55-64
MK,2018,:,Y55-64
MT,2018,13.1,Y55-64
NL,2018,23.1,Y55-64
NO,2018,19.9,Y55-64
PL,2018,0.1,Y55-64
PT,2018,9.4,Y55-64
RO,2018,-5.2,Y55-64
RS,2018,6.4,Y55-64
SE,2018,14.9,Y55-64
SI,2018,7.5,Y55-64
SK,2018,17.3,Y55-64
TR,2018,:,Y55-64
UK,2018,26.8,Y55-64
AL,2018,-1.7,Y_GE65
AT,2018,33.5,Y_GE65
BE,2018,:,Y_GE65
BG,2018,-12.3,Y_GE65
CH,2018,28.1,Y_GE65
CY,2018,26.2,Y_GE65
CZ,2018,17.1,Y_GE65
DE,2018,15.2,Y_GE65
DK,2018,11.3,Y_GE65
EE,2018,9.2,Y_GE65
EL,2018,34.5,Y_GE65
ES,2018,34.3,Y_GE65
FI,2018,25.1,Y_GE65
FR,2018,27.8,Y_GE65
HR,2018,6.9,Y_GE65
HU,2018,17.8,Y_GE65
IE,2018,34.9,Y_GE65
IS,2018,17.2,Y_GE65
IT,2018,10.9,Y_GE65
LT,2018,5.4,Y_GE65
LU,2018,33.3,Y_GE65
LV,2018,15.2,Y_GE65
ME,2018,:,Y_GE65
MK,2018,:,Y_GE65
MT,2018,12.9,Y_GE65
NL,2018,17.9,Y_GE65
NO,2018,20.2,Y_GE65
PL,2018,2.3,Y_GE65
PT,2018,29.7,Y_GE65
RO,2018,-16.8,Y_GE65
RS,2018,-10.9,Y_GE65
SE,2018,12.1,Y_GE65
SI,2018,2.7,Y_GE65
SK,2018,14.9,Y_GE65
TR,2018,:,Y_GE65
UK,2018,23.6,Y_GE65
AL,2018,0.3,Y_LT25
AT,2018,7.7,Y_LT25
BE,2018,1,Y_LT25
BG,2018,8,Y_LT25
CH,2018,4.1,Y_LT25
CY,2018,13.3,Y_LT25
CZ,2018,10.4,Y_LT25
DE,2018,6,Y_LT25
DK,2018,4.7,Y_LT25
EE,2018,12.2,Y_LT25
EL,2018,4.2,Y_LT25
ES,2018,1.7,Y_LT25
FI,2018,4.9,Y_LT25
FR,2018,3.5,Y_LT25
HR,2018,3.5,Y_LT25
HU,2018,7.9,Y_LT25
IE,2018,-5.3,Y_LT25
IS,2018,0.2,Y_LT25
IT,2018,4.9,Y_LT25
LT,2018,13.3,Y_LT25
LU,2018,-6.1,Y_LT25
LV,2018,10.3,Y_LT25
ME,2018,:,Y_LT25
MK,2018,:,Y_LT25
MT,2018,2.6,Y_LT25
NL,2018,-0.5,Y_LT25
NO,2018,1.1,Y_LT25
PL,2018,9.8,Y_LT25
PT,2018,3.1,Y_LT25
RO,2018,5.6,Y_LT25
RS,2018,5.4,Y_LT25
SE,2018,6,Y_LT25
SI,2018,9.8,Y_LT25
SK,2018,12.3,Y_LT25
TR,2018,:,Y_LT25
UK,2018,5.3,Y_LT25
AL,2017,:,Y25-34
AT,2017,:,Y25-34
BE,2017,2.7,Y25-34
BG,2017,15.5,Y25-34
CH,2017,9.1,Y25-34
CY,2017,2.9,Y25-34
CZ,2017,13.6,Y25-34
DE,2017,:,Y25-34
DK,2017,10.8,Y25-34
EE,2017,:,Y25-34
EL,2017,:,Y25-34
ES,2017,5,Y25-34
FI,2017,10.9,Y25-34
FR,2017,10.1,Y25-34
HR,2017,9.3,Y25-34
HU,2017,12.4,Y25-34
IE,2017,3,Y25-34
IS,2017,7,Y25-34
IT,2017,4.3,Y25-34
LT,2017,14.5,Y25-34
LU,2017,:,Y25-34
LV,2017,18.8,Y25-34
ME,2017,:,Y25-34
MK,2017,:,Y25-34
MT,2017,7.9,Y25-34
NL,2017,0.8,Y25-34
NO,2017,7.9,Y25-34
PL,2017,8.4,Y25-34
PT,2017,5.4,Y25-34
RO,2017,6.6,Y25-34
RS,2017,:,Y25-34
SE,2017,8.4,Y25-34
SI,2017,8.7,Y25-34
SK,2017,15.7,Y25-34
TR,2017,:,Y25-34
UK,2017,11.6,Y25-34
AL,2017,:,Y35-44
AT,2017,:,Y35-44
BE,2017,5.3,Y35-44
BG,2017,19.3,Y35-44
CH,2017,17.7,Y35-44
CY,2017,7.6,Y35-44
CZ,2017,26.2,Y35-44
DE,2017,:,Y35-44
DK,2017,16.1,Y35-44
EE,2017,:,Y35-44
EL,2017,:,Y35-44
ES,2017,10.4,Y35-44
FI,2017,18.1,Y35-44
FR,2017,13.3,Y35-44
HR,2017,14,Y35-44
HU,2017,21.2,Y35-44
IE,2017,13,Y35-44
IS,2017,18,Y35-44
IT,2017,6.2,Y35-44
LT,2017,19.8,Y35-44
LU,2017,:,Y35-44
LV,2017,22.9,Y35-44
ME,2017,:,Y35-44
MK,2017,:,Y35-44
MT,2017,15.1,Y35-44
NL,2017,10.3,Y35-44
NO,2017,12,Y35-44
PL,2017,11.7,Y35-44
PT,2017,10.9,Y35-44
RO,2017,5.1,Y35-44
RS,2017,:,Y35-44
SE,2017,13.2,Y35-44
SI,2017,10.8,Y35-44
SK,2017,24.4,Y35-44
TR,2017,:,Y35-44
UK,2017,20.1,Y35-44
AL,2017,:,Y45-54
AT,2017,:,Y45-54
BE,2017,5.7,Y45-54
BG,2017,16.8,Y45-54
CH,2017,23.7,Y45-54
CY,2017,17.6,Y45-54
CZ,2017,23.4,Y45-54
DE,2017,:,Y45-54
DK,2017,18.4,Y45-54
EE,2017,:,Y45-54
EL,2017,:,Y45-54
ES,2017,15.8,Y45-54
FI,2017,20.2,Y45-54
FR,2017,19.4,Y45-54
HR,2017,18.7,Y45-54
HU,2017,18,Y45-54
IE,2017,23.1,Y45-54
IS,2017,21.8,Y45-54
IT,2017,8.6,Y45-54
LT,2017,12.9,Y45-54
LU,2017,:,Y45-54
LV,2017,18.1,Y45-54
ME,2017,:,Y45-54
MK,2017,:,Y45-54
MT,2017,14.2,Y45-54
NL,2017,21.4,Y45-54
NO,2017,17.1,Y45-54
PL,2017,6.9,Y45-54
PT,2017,15.3,Y45-54
RO,2017,0.3,Y45-54
RS,2017,:,Y45-54
SE,2017,15.5,Y45-54
SI,2017,11.5,Y45-54
SK,2017,22.5,Y45-54
TR,2017,:,Y45-54
UK,2017,27.9,Y45-54
AL,2017,:,Y55-64
AT,2017,:,Y55-64
BE,2017,10.9,Y55-64
BG,2017,6.7,Y55-64
CH,2017,25.3,Y55-64
CY,2017,14.4,Y55-64
CZ,2017,14.6,Y55-64
DE,2017,:,Y55-64
DK,2017,16.7,Y55-64
EE,2017,:,Y55-64
EL,2017,:,Y55-64
ES,2017,20.5,Y55-64
FI,2017,21.1,Y55-64
FR,2017,22.2,Y55-64
HR,2017,9.9,Y55-64
HU,2017,10.8,Y55-64
IE,2017,24.7,Y55-64
IS,2017,20.7,Y55-64
IT,2017,6.9,Y55-64
LT,2017,12.7,Y55-64
LU,2017,:,Y55-64
LV,2017,16.4,Y55-64
ME,2017,:,Y55-64
MK,2017,:,Y55-64
MT,2017,11.2,Y55-64
NL,2017,22.8,Y55-64
NO,2017,20.1,Y55-64
PL,2017,2.6,Y55-64
PT,2017,13.2,Y55-64
RO,2017,-3.2,Y55-64
RS,2017,:,Y55-64
SE,2017,15.3,Y55-64
SI,2017,7,Y55-64
SK,2017,17.1,Y55-64
TR,2017,:,Y55-64
UK,2017,28.7,Y55-64
AL,2017,:,Y_GE65
AT,2017,:,Y_GE65
BE,2017,:,Y_GE65
BG,2017,-8.5,Y_GE65
CH,2017,25.7,Y_GE65
CY,2017,36.6,Y_GE65
CZ,2017,19.7,Y_GE65
DE,2017,:,Y_GE65
DK,2017,10,Y_GE65
EE,2017,:,Y_GE65
EL,2017,:,Y_GE65
ES,2017,51.1,Y_GE65
FI,2017,23.2,Y_GE65
FR,2017,28.1,Y_GE65
HR,2017,8.5,Y_GE65
HU,2017,24.9,Y_GE65
IE,2017,26.7,Y_GE65
IS,2017,20,Y_GE65
IT,2017,:,Y_GE65
LT,2017,8.8,Y_GE65
LU,2017,:,Y_GE65
LV,2017,18.1,Y_GE65
ME,2017,:,Y_GE65
MK,2017,:,Y_GE65
MT,2017,10.8,Y_GE65
NL,2017,17.7,Y_GE65
NO,2017,19.7,Y_GE65
PL,2017,-17.9,Y_GE65
PT,2017,34.6,Y_GE65
RO,2017,-8.1,Y_GE65
RS,2017,:,Y_GE65
SE,2017,12.8,Y_GE65
SI,2017,6.1,Y_GE65
SK,2017,24.4,Y_GE65
TR,2017,:,Y_GE65
UK,2017,24.8,Y_GE65
AL,2017,:,Y_LT25
AT,2017,:,Y_LT25
BE,2017,0,Y_LT25
BG,2017,8,Y_LT25
CH,2017,4,Y_LT25
CY,2017,10.8,Y_LT25
